iter	Passed	Remaining
0	142	142480
1	143	71480
2	143	47770
3	144	35910
4	144	28812
5	145	24080
6	145	20691
7	146	18149
8	146	16171
9	147	14584
10	147	13287
11	148	12208
12	148	11301
13	149	10518
14	149	9843
15	150	9252
16	150	8730
17	151	8263
18	152	7850
19	152	7475
20	153	7134
21	153	6822
22	153	6540
23	154	6280
24	154	6044
25	155	5825
26	155	5621
27	156	5432
28	156	5256
29	157	5098
30	158	4946
31	158	4803
32	159	4668
33	159	4541
34	160	4419
35	160	4305
36	161	4199
37	161	4098
38	162	4002
39	162	3908
40	163	3822
41	164	3741
42	164	3662
43	165	3586
44	165	3513
45	166	3444
46	166	3378
47	167	3316
48	167	3254
49	168	3196
50	168	3140
51	169	3085
52	169	3033
53	170	2984
54	170	2936
55	171	2889
56	171	2845
57	172	2802
58	173	2760
59	173	2720
60	174	2681
61	174	2644
62	175	2608
63	175	2572
64	176	2538
65	177	2506
66	177	2474
67	177	2439
68	178	2409
69	179	2381
70	179	2352
71	180	2324
72	180	2295
73	181	2268
74	181	2241
75	182	2216
76	182	2191
77	183	2166
78	183	2143
79	184	2120
80	184	2098
81	185	2076
82	186	2055
83	186	2034
84	186	2012
85	187	1993
86	187	1972
87	188	1953
88	189	1936
89	189	1918
90	190	1900
91	190	1883
92	191	1867
93	191	1850
94	192	1833
95	192	1817
96	193	1801
97	194	1785
98	194	1770
99	194	1754
100	195	1739
101	195	1722
102	196	1708
103	196	1694
104	197	1680
105	197	1667
106	198	1655
107	198	1642
108	199	1630
109	200	1618
110	200	1605
111	201	1594
112	201	1582
113	202	1570
114	202	1559
115	203	1547
116	203	1536
117	204	1525
118	204	1514
119	205	1503
120	205	1493
121	206	1483
122	206	1471
123	206	1461
124	207	1451
125	207	1441
126	208	1432
127	208	1421
128	209	1412
129	209	1403
130	210	1394
131	210	1385
132	211	1377
133	211	1368
134	212	1360
135	212	1352
136	213	1344
137	213	1335
138	214	1328
139	214	1320
140	215	1312
141	216	1305
142	216	1297
143	217	1290
144	217	1283
145	218	1276
146	218	1269
147	219	1262
148	219	1256
149	220	1249
150	221	1242
151	221	1235
152	222	1229
153	222	1223
154	223	1217
155	223	1211
156	224	1204
157	225	1199
158	225	1193
159	226	1187
160	226	1181
161	227	1175
162	227	1170
163	228	1164
164	229	1159
165	229	1154
166	230	1149
167	231	1144
168	231	1139
169	232	1134
170	232	1129
171	233	1124
172	234	1119
173	234	1114
174	235	1109
175	235	1104
176	236	1100
177	237	1095
178	237	1090
179	238	1086
180	238	1080
181	239	1075
182	239	1070
183	240	1066
184	241	1061
185	241	1057
186	242	1053
187	242	1049
188	243	1046
189	244	1042
190	244	1037
191	245	1033
192	246	1029
193	246	1025
194	247	1021
195	248	1017
196	248	1013
197	249	1009
198	249	1005
199	250	1001
200	250	997
201	251	993
202	252	990
203	252	986
204	253	983
205	254	979
206	254	975
207	255	972
208	255	968
209	256	965
210	257	961
211	257	958
212	258	954
213	258	951
214	259	947
215	260	944
216	260	941
217	261	938
218	262	935
219	263	932
220	263	929
221	264	925
222	264	922
223	265	919
224	266	916
225	266	913
226	267	911
227	268	907
228	268	904
229	269	901
230	269	898
231	270	895
232	271	892
233	271	889
234	272	886
235	272	883
236	273	880
237	274	877
238	274	875
239	275	872
240	275	869
241	276	866
242	277	863
243	277	860
244	278	858
245	279	855
246	279	852
247	280	849
248	280	846
249	281	844
250	282	841
251	282	838
252	283	836
253	283	833
254	284	831
255	285	828
256	285	826
257	286	823
258	286	820
259	287	818
260	288	815
261	288	813
262	289	810
263	289	808
264	290	805
265	291	803
266	291	801
267	292	798
268	293	796
269	293	793
270	294	791
271	294	789
272	295	787
273	296	784
274	296	782
275	297	780
276	298	778
277	298	775
278	299	773
279	299	771
280	300	768
281	301	767
282	301	764
283	302	762
284	303	760
285	303	758
286	304	755
287	304	753
288	305	751
289	306	749
290	306	747
291	307	745
292	307	742
293	308	740
294	309	738
295	309	736
296	310	734
297	310	732
298	311	730
299	312	728
300	312	726
301	313	725
302	314	722
303	314	720
304	315	718
305	315	716
306	316	714
307	317	712
308	317	710
309	318	708
310	318	706
311	319	704
312	320	702
313	320	700
314	321	698
315	322	697
316	322	695
317	323	693
318	324	691
319	324	690
320	325	688
321	326	686
322	327	685
323	327	683
324	328	682
325	329	680
326	329	678
327	330	676
328	331	675
329	331	673
330	332	671
331	332	669
332	333	668
333	334	666
334	334	664
335	335	662
336	336	661
337	336	659
338	337	657
339	337	655
340	338	654
341	339	652
342	339	650
343	340	649
344	341	647
345	341	645
346	342	644
347	343	642
348	343	640
349	344	639
350	344	637
351	345	635
352	346	634
353	346	632
354	347	631
355	348	629
356	348	628
357	349	626
358	350	624
359	350	623
360	351	622
361	352	620
362	352	618
363	353	617
364	354	615
365	354	614
366	355	612
367	356	611
368	356	609
369	357	608
370	357	606
371	358	605
372	359	603
373	359	602
374	360	600
375	361	599
376	361	598
377	362	596
378	363	595
379	363	593
380	364	591
381	365	590
382	365	589
383	366	587
384	366	585
385	367	584
386	368	583
387	368	581
388	369	580
389	370	578
390	370	577
391	371	575
392	371	574
393	372	572
394	373	571
395	373	570
396	374	568
397	374	567
398	375	565
399	376	564
400	376	562
401	377	561
402	377	559
403	378	558
404	379	557
405	379	555
406	380	554
407	381	553
408	381	551
409	382	550
410	383	549
411	384	548
412	384	546
413	385	545
414	386	544
415	386	542
416	387	541
417	387	540
418	388	538
419	389	537
420	389	536
421	390	534
422	390	533
423	391	531
424	392	530
425	392	529
426	393	527
427	394	526
428	394	525
429	395	524
430	396	522
431	396	521
432	397	520
433	397	518
434	398	517
435	399	516
436	399	514
437	400	513
438	400	512
439	401	511
440	402	510
441	402	508
442	403	507
443	404	506
444	404	504
445	405	503
446	406	502
447	406	501
448	407	499
449	407	498
450	408	497
451	409	495
452	409	494
453	410	493
454	410	492
455	411	491
456	412	489
457	413	488
458	413	487
459	414	486
460	414	485
461	415	483
462	416	482
463	416	481
464	417	480
465	417	478
466	418	477
467	419	476
468	419	475
469	420	474
470	420	472
471	421	471
472	422	470
473	422	469
474	423	467
475	424	466
476	424	465
477	425	464
478	425	463
479	426	462
480	427	460
481	427	459
482	428	458
483	428	457
484	429	456
485	430	454
486	430	453
487	431	452
488	431	451
489	432	450
490	433	449
491	433	447
492	434	446
493	434	445
494	435	444
495	436	443
496	436	442
497	437	440
498	437	439
499	438	438
500	439	437
501	439	436
502	440	435
503	441	434
504	441	433
505	442	432
506	443	430
507	443	429
508	444	428
509	445	427
510	445	426
511	446	425
512	447	424
513	447	423
514	448	422
515	449	421
516	449	420
517	450	419
518	451	417
519	451	416
520	452	415
521	453	414
522	453	413
523	454	412
524	454	411
525	455	410
526	456	409
527	457	408
528	457	407
529	458	406
530	458	405
531	459	404
532	460	403
533	460	402
534	461	401
535	462	400
536	462	399
537	463	397
538	464	396
539	464	395
540	465	394
541	465	393
542	466	392
543	467	391
544	467	390
545	468	389
546	469	388
547	469	387
548	470	386
549	471	385
550	471	384
551	472	383
552	472	382
553	473	381
554	474	380
555	474	379
556	475	378
557	475	377
558	476	375
559	477	374
560	477	373
561	478	372
562	478	371
563	479	370
564	480	369
565	480	368
566	481	367
567	482	366
568	482	365
569	483	364
570	483	363
571	484	362
572	485	361
573	485	360
574	486	359
575	487	358
576	487	357
577	488	356
578	489	355
579	489	354
580	490	353
581	491	352
582	491	351
583	492	350
584	492	349
585	493	348
586	494	347
587	494	346
588	495	345
589	496	344
590	496	343
591	497	342
592	497	341
593	498	340
594	499	339
595	499	338
596	500	337
597	501	336
598	501	335
599	502	334
600	502	333
601	503	332
602	504	331
603	504	330
604	505	329
605	505	328
606	506	327
607	507	326
608	507	325
609	508	324
610	508	323
611	509	323
612	510	322
613	510	321
614	511	320
615	511	319
616	512	318
617	513	317
618	513	316
619	514	315
620	515	314
621	515	313
622	516	312
623	517	311
624	517	310
625	518	309
626	518	308
627	519	307
628	520	306
629	520	305
630	521	304
631	522	303
632	522	303
633	523	302
634	523	301
635	524	300
636	525	299
637	525	298
638	526	297
639	527	296
640	527	295
641	528	294
642	528	293
643	529	292
644	530	291
645	530	290
646	531	290
647	532	289
648	533	288
649	533	287
650	534	286
651	535	285
652	535	284
653	536	283
654	536	282
655	537	281
656	537	280
657	538	279
658	539	279
659	539	278
660	540	277
661	540	276
662	541	275
663	542	274
664	542	273
665	543	272
666	543	271
667	544	270
668	545	269
669	545	268
670	546	267
671	547	267
672	548	266
673	548	265
674	549	264
675	550	263
676	550	262
677	551	261
678	551	260
679	552	260
680	553	259
681	553	258
682	554	257
683	555	256
684	555	255
685	556	254
686	556	253
687	557	252
688	558	251
689	558	250
690	559	250
691	559	249
692	560	248
693	561	247
694	561	246
695	562	245
696	562	244
697	563	243
698	564	242
699	564	241
700	565	241
701	565	240
702	566	239
703	567	238
704	567	237
705	568	236
706	568	235
707	569	234
708	570	233
709	570	233
710	571	232
711	571	231
712	572	230
713	573	229
714	573	228
715	574	227
716	575	226
717	575	226
718	576	225
719	576	224
720	577	223
721	578	222
722	578	221
723	579	220
724	579	219
725	580	219
726	581	218
727	581	217
728	582	216
729	583	215
730	584	214
731	584	214
732	585	213
733	585	212
734	586	211
735	587	210
736	587	209
737	588	208
738	589	208
739	589	207
740	590	206
741	590	205
742	591	204
743	592	203
744	592	202
745	593	202
746	594	201
747	594	200
748	595	199
749	596	198
750	596	197
751	597	197
752	598	196
753	598	195
754	599	194
755	599	193
756	600	192
757	601	191
758	601	191
759	602	190
760	602	189
761	603	188
762	604	187
763	604	186
764	605	185
765	605	185
766	606	184
767	607	183
768	607	182
769	608	181
770	608	180
771	609	180
772	610	179
773	610	178
774	611	177
775	611	176
776	612	175
777	613	174
778	613	174
779	614	173
780	615	172
781	615	171
782	616	170
783	617	170
784	617	169
785	618	168
786	619	167
787	619	166
788	620	165
789	621	165
790	621	164
791	622	163
792	623	162
793	623	161
794	624	160
795	624	160
796	625	159
797	626	158
798	626	157
799	627	156
800	628	156
801	628	155
802	629	154
803	629	153
804	630	152
805	631	151
806	631	151
807	632	150
808	633	149
809	633	148
810	634	147
811	635	147
812	635	146
813	636	145
814	637	144
815	637	143
816	638	142
817	638	142
818	639	141
819	640	140
820	640	139
821	641	138
822	641	138
823	642	137
824	643	136
825	643	135
826	644	134
827	645	134
828	645	133
829	646	132
830	647	131
831	647	130
832	648	130
833	649	129
834	649	128
835	650	127
836	651	126
837	651	125
838	652	125
839	652	124
840	653	123
841	654	122
842	654	121
843	655	121
844	656	120
845	656	119
846	657	118
847	658	117
848	658	117
849	659	116
850	660	115
851	660	114
852	661	113
853	661	113
854	662	112
855	663	111
856	663	110
857	664	109
858	665	109
859	665	108
860	666	107
861	666	106
862	667	105
863	668	105
864	668	104
865	669	103
866	670	102
867	670	102
868	671	101
869	672	100
870	672	99
871	673	98
872	673	98
873	674	97
874	675	96
875	675	95
876	676	94
877	677	94
878	677	93
879	678	92
880	678	91
881	679	90
882	680	90
883	680	89
884	681	88
885	681	87
886	682	86
887	683	86
888	683	85
889	684	84
890	684	83
891	685	83
892	686	82
893	686	81
894	687	80
895	688	79
896	688	79
897	689	78
898	690	77
899	690	76
900	691	75
901	692	75
902	693	74
903	693	73
904	694	72
905	695	72
906	695	71
907	696	70
908	696	69
909	697	68
910	698	68
911	698	67
912	699	66
913	700	65
914	700	65
915	701	64
916	702	63
917	702	62
918	703	61
919	704	61
920	704	60
921	705	59
922	705	58
923	706	58
924	707	57
925	707	56
926	708	55
927	709	55
928	709	54
929	710	53
930	710	52
931	711	51
932	712	51
933	712	50
934	713	49
935	713	48
936	714	48
937	715	47
938	715	46
939	716	45
940	716	44
941	717	44
942	718	43
943	718	42
944	719	41
945	720	41
946	720	40
947	721	39
948	722	38
949	722	38
950	723	37
951	724	36
952	724	35
953	725	34
954	726	34
955	726	33
956	727	32
957	728	31
958	728	31
959	729	30
960	730	29
961	730	28
962	731	28
963	731	27
964	732	26
965	733	25
966	733	25
967	734	24
968	735	23
969	735	22
970	736	21
971	736	21
972	737	20
973	738	19
974	738	18
975	739	18
976	740	17
977	740	16
978	741	15
979	741	15
980	742	14
981	743	13
982	743	12
983	744	12
984	745	11
985	745	10
986	746	9
987	747	9
988	748	8
989	748	7
990	749	6
991	750	6
992	751	5
993	752	4
994	752	3
995	753	3
996	754	2
997	755	1
998	756	0
999	757	0
